district,chamber,indicator,value,topic,type,format,pad,id
State Senate District 19,Senate,Population ages 65+,14508,Age,table,",",019,610U500US09019
State Senate District 20,Senate,Population ages 65+,17155,Age,table,",",020,610U500US09020
State Senate District 21,Senate,Population ages 65+,19062,Age,table,",",021,610U500US09021
State Senate District 22,Senate,Population ages 65+,15146,Age,table,",",022,610U500US09022
State Senate District 23,Senate,Population ages 65+,8797,Age,table,",",023,610U500US09023
State Senate District 24,Senate,Population ages 65+,14585,Age,table,",",024,610U500US09024
State Senate District 25,Senate,Population ages 65+,13891,Age,table,",",025,610U500US09025
State Senate District 26,Senate,Population ages 65+,16090,Age,table,",",026,610U500US09026
State Senate District 27,Senate,Population ages 65+,12880,Age,table,",",027,610U500US09027
State Senate District 28,Senate,Population ages 65+,16105,Age,table,",",028,610U500US09028
State Senate District 29,Senate,Population ages 65+,12933,Age,table,",",029,610U500US09029
State Senate District 30,Senate,Population ages 65+,17889,Age,table,",",030,610U500US09030
State Senate District 31,Senate,Population ages 65+,16477,Age,table,",",031,610U500US09031
State Senate District 32,Senate,Population ages 65+,18425,Age,table,",",032,610U500US09032
State Senate District 33,Senate,Population ages 65+,18757,Age,table,",",033,610U500US09033
State Senate District 34,Senate,Population ages 65+,17972,Age,table,",",034,610U500US09034
State Senate District 35,Senate,Population ages 65+,15594,Age,table,",",035,610U500US09035
State Senate District 36,Senate,Population ages 65+,16637,Age,table,",",036,610U500US09036
State House District 1,House,Population ages 65+,2540,Age,table,",",001,620L500US09001
State House District 2,House,Population ages 65+,3323,Age,table,",",002,620L500US09002
State House District 3,House,Population ages 65+,2156,Age,table,",",003,620L500US09003
State House District 4,House,Population ages 65+,1944,Age,table,",",004,620L500US09004
State House District 5,House,Population ages 65+,2950,Age,table,",",005,620L500US09005
State House District 6,House,Population ages 65+,2451,Age,table,",",006,620L500US09006
State House District 7,House,Population ages 65+,2469,Age,table,",",007,620L500US09007
State House District 8,House,Population ages 65+,3818,Age,table,",",008,620L500US09008
State House District 9,House,Population ages 65+,3805,Age,table,",",009,620L500US09009
State House District 10,House,Population ages 65+,3681,Age,table,",",010,620L500US09010
State House District 11,House,Population ages 65+,2224,Age,table,",",011,620L500US09011
State House District 12,House,Population ages 65+,3346,Age,table,",",012,620L500US09012
State House District 13,House,Population ages 65+,3798,Age,table,",",013,620L500US09013
State House District 14,House,Population ages 65+,4086,Age,table,",",014,620L500US09014
State House District 15,House,Population ages 65+,5422,Age,table,",",015,620L500US09015
State House District 16,House,Population ages 65+,3871,Age,table,",",016,620L500US09016
State House District 17,House,Population ages 65+,4075,Age,table,",",017,620L500US09017
State House District 18,House,Population ages 65+,5059,Age,table,",",018,620L500US09018
State House District 19,House,Population ages 65+,4527,Age,table,",",019,620L500US09019
State House District 20,House,Population ages 65+,3045,Age,table,",",020,620L500US09020
State House District 21,House,Population ages 65+,4276,Age,table,",",021,620L500US09021
State House District 22,House,Population ages 65+,3762,Age,table,",",022,620L500US09022
State House District 23,House,Population ages 65+,5969,Age,table,",",023,620L500US09023
State House District 24,House,Population ages 65+,3463,Age,table,",",024,620L500US09024
State House District 25,House,Population ages 65+,2204,Age,table,",",025,620L500US09025
State House District 26,House,Population ages 65+,3341,Age,table,",",026,620L500US09026
State House District 27,House,Population ages 65+,4962,Age,table,",",027,620L500US09027
State House District 28,House,Population ages 65+,4892,Age,table,",",028,620L500US09028
State House District 29,House,Population ages 65+,4753,Age,table,",",029,620L500US09029
State House District 30,House,Population ages 65+,4949,Age,table,",",030,620L500US09030
State House District 31,House,Population ages 65+,4139,Age,table,",",031,620L500US09031
State House District 32,House,Population ages 65+,4365,Age,table,",",032,620L500US09032
State House District 33,House,Population ages 65+,2830,Age,table,",",033,620L500US09033
State House District 34,House,Population ages 65+,3491,Age,table,",",034,620L500US09034
State House District 35,House,Population ages 65+,4356,Age,table,",",035,620L500US09035
State House District 36,House,Population ages 65+,5452,Age,table,",",036,620L500US09036
State House District 37,House,Population ages 65+,4712,Age,table,",",037,620L500US09037
State House District 38,House,Population ages 65+,5110,Age,table,",",038,620L500US09038
State House District 39,House,Population ages 65+,2121,Age,table,",",039,620L500US09039
State House District 40,House,Population ages 65+,2292,Age,table,",",040,620L500US09040
State House District 41,House,Population ages 65+,4438,Age,table,",",041,620L500US09041
State House District 42,House,Population ages 65+,3247,Age,table,",",042,620L500US09042
State House District 43,House,Population ages 65+,5169,Age,table,",",043,620L500US09043
State House District 44,House,Population ages 65+,3599,Age,table,",",044,620L500US09044
State House District 45,House,Population ages 65+,3073,Age,table,",",045,620L500US09045
State House District 46,House,Population ages 65+,2814,Age,table,",",046,620L500US09046
State House District 47,House,Population ages 65+,3975,Age,table,",",047,620L500US09047
State House District 48,House,Population ages 65+,3361,Age,table,",",048,620L500US09048
State House District 49,House,Population ages 65+,2795,Age,table,",",049,620L500US09049
State House District 50,House,Population ages 65+,3918,Age,table,",",050,620L500US09050
State House District 51,House,Population ages 65+,3701,Age,table,",",051,620L500US09051
State House District 52,House,Population ages 65+,3416,Age,table,",",052,620L500US09052
State House District 53,House,Population ages 65+,3300,Age,table,",",053,620L500US09053
State House District 54,House,Population ages 65+,1670,Age,table,",",054,620L500US09054
State House District 55,House,Population ages 65+,3427,Age,table,",",055,620L500US09055
State House District 56,House,Population ages 65+,4110,Age,table,",",056,620L500US09056
State House District 57,House,Population ages 65+,3335,Age,table,",",057,620L500US09057
State House District 58,House,Population ages 65+,3960,Age,table,",",058,620L500US09058
State House District 59,House,Population ages 65+,3607,Age,table,",",059,620L500US09059
State House District 60,House,Population ages 65+,3955,Age,table,",",060,620L500US09060
State House District 61,House,Population ages 65+,3640,Age,table,",",061,620L500US09061
State House District 62,House,Population ages 65+,3752,Age,table,",",062,620L500US09062
State House District 63,House,Population ages 65+,4149,Age,table,",",063,620L500US09063
State House District 64,House,Population ages 65+,5666,Age,table,",",064,620L500US09064
State House District 65,House,Population ages 65+,3716,Age,table,",",065,620L500US09065
State House District 66,House,Population ages 65+,4634,Age,table,",",066,620L500US09066
State House District 67,House,Population ages 65+,3543,Age,table,",",067,620L500US09067
State House District 68,House,Population ages 65+,4086,Age,table,",",068,620L500US09068
State House District 69,House,Population ages 65+,7184,Age,table,",",069,620L500US09069
State House District 70,House,Population ages 65+,3172,Age,table,",",070,620L500US09070
State House District 71,House,Population ages 65+,3847,Age,table,",",071,620L500US09071
State House District 72,House,Population ages 65+,2353,Age,table,",",072,620L500US09072
State House District 73,House,Population ages 65+,2677,Age,table,",",073,620L500US09073
State House District 74,House,Population ages 65+,3377,Age,table,",",074,620L500US09074
State House District 75,House,Population ages 65+,2535,Age,table,",",075,620L500US09075
State House District 76,House,Population ages 65+,3724,Age,table,",",076,620L500US09076
State House District 77,House,Population ages 65+,4699,Age,table,",",077,620L500US09077
State House District 78,House,Population ages 65+,3435,Age,table,",",078,620L500US09078
State House District 79,House,Population ages 65+,3291,Age,table,",",079,620L500US09079
State House District 80,House,Population ages 65+,3816,Age,table,",",080,620L500US09080
State House District 81,House,Population ages 65+,5050,Age,table,",",081,620L500US09081
State House District 82,House,Population ages 65+,4343,Age,table,",",082,620L500US09082
State House District 83,House,Population ages 65+,4621,Age,table,",",083,620L500US09083
State House District 84,House,Population ages 65+,2364,Age,table,",",084,620L500US09084
State House District 85,House,Population ages 65+,3994,Age,table,",",085,620L500US09085
State House District 86,House,Population ages 65+,4174,Age,table,",",086,620L500US09086
State House District 87,House,Population ages 65+,4536,Age,table,",",087,620L500US09087
State House District 88,House,Population ages 65+,3600,Age,table,",",088,620L500US09088
State House District 89,House,Population ages 65+,3959,Age,table,",",089,620L500US09089
State House District 90,House,Population ages 65+,4062,Age,table,",",090,620L500US09090
State House District 91,House,Population ages 65+,4554,Age,table,",",091,620L500US09091
State House District 92,House,Population ages 65+,2931,Age,table,",",092,620L500US09092
State House District 93,House,Population ages 65+,2183,Age,table,",",093,620L500US09093
State House District 94,House,Population ages 65+,1968,Age,table,",",094,620L500US09094
State House District 95,House,Population ages 65+,2032,Age,table,",",095,620L500US09095
State House District 96,House,Population ages 65+,2511,Age,table,",",096,620L500US09096
State House District 97,House,Population ages 65+,3796,Age,table,",",097,620L500US09097
State House District 98,House,Population ages 65+,5189,Age,table,",",098,620L500US09098
State House District 99,House,Population ages 65+,4435,Age,table,",",099,620L500US09099
State House District 100,House,Population ages 65+,3600,Age,table,",",100,620L500US09100
State House District 101,House,Population ages 65+,4782,Age,table,",",101,620L500US09101
State House District 102,House,Population ages 65+,4808,Age,table,",",102,620L500US09102
State House District 103,House,Population ages 65+,4287,Age,table,",",103,620L500US09103
State House District 104,House,Population ages 65+,3249,Age,table,",",104,620L500US09104
State House District 105,House,Population ages 65+,3279,Age,table,",",105,620L500US09105
State House District 106,House,Population ages 65+,3656,Age,table,",",106,620L500US09106
State House District 107,House,Population ages 65+,3988,Age,table,",",107,620L500US09107
State House District 108,House,Population ages 65+,3389,Age,table,",",108,620L500US09108
State House District 109,House,Population ages 65+,3275,Age,table,",",109,620L500US09109
State House District 110,House,Population ages 65+,2813,Age,table,",",110,620L500US09110
State House District 111,House,Population ages 65+,3724,Age,table,",",111,620L500US09111
State House District 112,House,Population ages 65+,3090,Age,table,",",112,620L500US09112
State House District 113,House,Population ages 65+,3746,Age,table,",",113,620L500US09113
State House District 114,House,Population ages 65+,4493,Age,table,",",114,620L500US09114
State House District 115,House,Population ages 65+,3060,Age,table,",",115,620L500US09115
State House District 116,House,Population ages 65+,2142,Age,table,",",116,620L500US09116
State House District 117,House,Population ages 65+,4650,Age,table,",",117,620L500US09117
State House District 118,House,Population ages 65+,4156,Age,table,",",118,620L500US09118
State House District 119,House,Population ages 65+,3859,Age,table,",",119,620L500US09119
State House District 120,House,Population ages 65+,4224,Age,table,",",120,620L500US09120
State House District 121,House,Population ages 65+,3670,Age,table,",",121,620L500US09121
State House District 122,House,Population ages 65+,6847,Age,table,",",122,620L500US09122
State House District 123,House,Population ages 65+,4552,Age,table,",",123,620L500US09123
State House District 124,House,Population ages 65+,2873,Age,table,",",124,620L500US09124
State House District 125,House,Population ages 65+,3618,Age,table,",",125,620L500US09125
State House District 126,House,Population ages 65+,2419,Age,table,",",126,620L500US09126
State House District 127,House,Population ages 65+,3621,Age,table,",",127,620L500US09127
State House District 128,House,Population ages 65+,1459,Age,table,",",128,620L500US09128
State House District 129,House,Population ages 65+,2578,Age,table,",",129,620L500US09129
State House District 130,House,Population ages 65+,2139,Age,table,",",130,620L500US09130
State House District 131,House,Population ages 65+,3779,Age,table,",",131,620L500US09131
State House District 132,House,Population ages 65+,3964,Age,table,",",132,620L500US09132
State House District 133,House,Population ages 65+,2864,Age,table,",",133,620L500US09133
State House District 134,House,Population ages 65+,4475,Age,table,",",134,620L500US09134
State House District 135,House,Population ages 65+,3842,Age,table,",",135,620L500US09135
State House District 136,House,Population ages 65+,4021,Age,table,",",136,620L500US09136
State House District 137,House,Population ages 65+,3517,Age,table,",",137,620L500US09137
State House District 138,House,Population ages 65+,3291,Age,table,",",138,620L500US09138
State House District 139,House,Population ages 65+,3881,Age,table,",",139,620L500US09139
State House District 140,House,Population ages 65+,1945,Age,table,",",140,620L500US09140
State House District 141,House,Population ages 65+,3348,Age,table,",",141,620L500US09141
State House District 142,House,Population ages 65+,4411,Age,table,",",142,620L500US09142
State House District 143,House,Population ages 65+,3816,Age,table,",",143,620L500US09143
State House District 144,House,Population ages 65+,3706,Age,table,",",144,620L500US09144
State House District 145,House,Population ages 65+,2744,Age,table,",",145,620L500US09145
State House District 146,House,Population ages 65+,2641,Age,table,",",146,620L500US09146
State House District 147,House,Population ages 65+,3514,Age,table,",",147,620L500US09147
State House District 148,House,Population ages 65+,2906,Age,table,",",148,620L500US09148
State House District 149,House,Population ages 65+,4443,Age,table,",",149,620L500US09149
State House District 150,House,Population ages 65+,3407,Age,table,",",150,620L500US09150
State House District 151,House,Population ages 65+,3965,Age,table,",",151,620L500US09151
Connecticut,State,Population ages 65+,555023,Age,table,",",,Connecticut
State Senate District 1,Senate,Percent ages 65+,0.12,Age,map,.0%,001,610U500US09001
State Senate District 2,Senate,Percent ages 65+,0.143,Age,map,.0%,002,610U500US09002
State Senate District 3,Senate,Percent ages 65+,0.147,Age,map,.0%,003,610U500US09003
State Senate District 4,Senate,Percent ages 65+,0.15,Age,map,.0%,004,610U500US09004
State Senate District 5,Senate,Percent ages 65+,0.173,Age,map,.0%,005,610U500US09005
State Senate District 6,Senate,Percent ages 65+,0.145,Age,map,.0%,006,610U500US09006
State Senate District 7,Senate,Percent ages 65+,0.161,Age,map,.0%,007,610U500US09007
State Senate District 8,Senate,Percent ages 65+,0.17,Age,map,.0%,008,610U500US09008
State Senate District 9,Senate,Percent ages 65+,0.172,Age,map,.0%,009,610U500US09009
State Senate District 10,Senate,Percent ages 65+,0.099,Age,map,.0%,010,610U500US09010
State Senate District 11,Senate,Percent ages 65+,0.135,Age,map,.0%,011,610U500US09011
State Senate District 12,Senate,Percent ages 65+,0.207,Age,map,.0%,012,610U500US09012
State Senate District 13,Senate,Percent ages 65+,0.17,Age,map,.0%,013,610U500US09013
State Senate District 14,Senate,Percent ages 65+,0.176,Age,map,.0%,014,610U500US09014
State Senate District 15,Senate,Percent ages 65+,0.12,Age,map,.0%,015,610U500US09015
State Senate District 16,Senate,Percent ages 65+,0.165,Age,map,.0%,016,610U500US09016
State Senate District 17,Senate,Percent ages 65+,0.147,Age,map,.0%,017,610U500US09017
State Senate District 18,Senate,Percent ages 65+,0.159,Age,map,.0%,018,610U500US09018
State Senate District 19,Senate,Percent ages 65+,0.145,Age,map,.0%,019,610U500US09019
State Senate District 20,Senate,Percent ages 65+,0.178,Age,map,.0%,020,610U500US09020
State Senate District 21,Senate,Percent ages 65+,0.186,Age,map,.0%,021,610U500US09021
State Senate District 22,Senate,Percent ages 65+,0.152,Age,map,.0%,022,610U500US09022
State Senate District 23,Senate,Percent ages 65+,0.09,Age,map,.0%,023,610U500US09023
State Senate District 24,Senate,Percent ages 65+,0.136,Age,map,.0%,024,610U500US09024
State Senate District 25,Senate,Percent ages 65+,0.136,Age,map,.0%,025,610U500US09025
State Senate District 26,Senate,Percent ages 65+,0.15,Age,map,.0%,026,610U500US09026
State Senate District 27,Senate,Percent ages 65+,0.119,Age,map,.0%,027,610U500US09027
State Senate District 28,Senate,Percent ages 65+,0.154,Age,map,.0%,028,610U500US09028
State Senate District 29,Senate,Percent ages 65+,0.127,Age,map,.0%,029,610U500US09029
State Senate District 30,Senate,Percent ages 65+,0.188,Age,map,.0%,030,610U500US09030
State Senate District 31,Senate,Percent ages 65+,0.162,Age,map,.0%,031,610U500US09031
State Senate District 32,Senate,Percent ages 65+,0.198,Age,map,.0%,032,610U500US09032
State Senate District 33,Senate,Percent ages 65+,0.188,Age,map,.0%,033,610U500US09033
State Senate District 34,Senate,Percent ages 65+,0.187,Age,map,.0%,034,610U500US09034
State Senate District 35,Senate,Percent ages 65+,0.154,Age,map,.0%,035,610U500US09035
State Senate District 36,Senate,Percent ages 65+,0.168,Age,map,.0%,036,610U500US09036
State House District 1,House,Percent ages 65+,0.111,Age,map,.0%,001,620L500US09001
State House District 2,House,Percent ages 65+,0.136,Age,map,.0%,002,620L500US09002
State House District 3,House,Percent ages 65+,0.099,Age,map,.0%,003,620L500US09003
State House District 4,House,Percent ages 65+,0.084,Age,map,.0%,004,620L500US09004
State House District 5,House,Percent ages 65+,0.123,Age,map,.0%,005,620L500US09005
State House District 6,House,Percent ages 65+,0.105,Age,map,.0%,006,620L500US09006
State House District 7,House,Percent ages 65+,0.106,Age,map,.0%,007,620L500US09007
State House District 8,House,Percent ages 65+,0.161,Age,map,.0%,008,620L500US09008
State House District 9,House,Percent ages 65+,0.148,Age,map,.0%,009,620L500US09009
State House District 10,House,Percent ages 65+,0.161,Age,map,.0%,010,620L500US09010
State House District 11,House,Percent ages 65+,0.092,Age,map,.0%,011,620L500US09011
State House District 12,House,Percent ages 65+,0.137,Age,map,.0%,012,620L500US09012
State House District 13,House,Percent ages 65+,0.161,Age,map,.0%,013,620L500US09013
State House District 14,House,Percent ages 65+,0.169,Age,map,.0%,014,620L500US09014
State House District 15,House,Percent ages 65+,0.236,Age,map,.0%,015,620L500US09015
State House District 16,House,Percent ages 65+,0.161,Age,map,.0%,016,620L500US09016
State House District 17,House,Percent ages 65+,0.174,Age,map,.0%,017,620L500US09017
State House District 18,House,Percent ages 65+,0.219,Age,map,.0%,018,620L500US09018
State House District 19,House,Percent ages 65+,0.182,Age,map,.0%,019,620L500US09019
State House District 20,House,Percent ages 65+,0.138,Age,map,.0%,020,620L500US09020
State House District 21,House,Percent ages 65+,0.179,Age,map,.0%,021,620L500US09021
State House District 22,House,Percent ages 65+,0.163,Age,map,.0%,022,620L500US09022
State House District 23,House,Percent ages 65+,0.26,Age,map,.0%,023,620L500US09023
State House District 24,House,Percent ages 65+,0.154,Age,map,.0%,024,620L500US09024
State House District 25,House,Percent ages 65+,0.091,Age,map,.0%,025,620L500US09025
State House District 26,House,Percent ages 65+,0.138,Age,map,.0%,026,620L500US09026
State House District 27,House,Percent ages 65+,0.201,Age,map,.0%,027,620L500US09027
State House District 28,House,Percent ages 65+,0.205,Age,map,.0%,028,620L500US09028
State House District 29,House,Percent ages 65+,0.192,Age,map,.0%,029,620L500US09029
State House District 30,House,Percent ages 65+,0.196,Age,map,.0%,030,620L500US09030
State House District 31,House,Percent ages 65+,0.17,Age,map,.0%,031,620L500US09031
State House District 32,House,Percent ages 65+,0.186,Age,map,.0%,032,620L500US09032
State House District 33,House,Percent ages 65+,0.117,Age,map,.0%,033,620L500US09033
State House District 34,House,Percent ages 65+,0.149,Age,map,.0%,034,620L500US09034
State House District 35,House,Percent ages 65+,0.185,Age,map,.0%,035,620L500US09035
State House District 36,House,Percent ages 65+,0.23,Age,map,.0%,036,620L500US09036
State House District 37,House,Percent ages 65+,0.204,Age,map,.0%,037,620L500US09037
State House District 38,House,Percent ages 65+,0.215,Age,map,.0%,038,620L500US09038
State House District 39,House,Percent ages 65+,0.092,Age,map,.0%,039,620L500US09039
State House District 40,House,Percent ages 65+,0.096,Age,map,.0%,040,620L500US09040
State House District 41,House,Percent ages 65+,0.198,Age,map,.0%,041,620L500US09041
State House District 42,House,Percent ages 65+,0.138,Age,map,.0%,042,620L500US09042
State House District 43,House,Percent ages 65+,0.218,Age,map,.0%,043,620L500US09043
State House District 44,House,Percent ages 65+,0.149,Age,map,.0%,044,620L500US09044
State House District 45,House,Percent ages 65+,0.134,Age,map,.0%,045,620L500US09045
State House District 46,House,Percent ages 65+,0.116,Age,map,.0%,046,620L500US09046
State House District 47,House,Percent ages 65+,0.16,Age,map,.0%,047,620L500US09047
State House District 48,House,Percent ages 65+,0.142,Age,map,.0%,048,620L500US09048
State House District 49,House,Percent ages 65+,0.118,Age,map,.0%,049,620L500US09049
State House District 50,House,Percent ages 65+,0.171,Age,map,.0%,050,620L500US09050
State House District 51,House,Percent ages 65+,0.157,Age,map,.0%,051,620L500US09051
State House District 52,House,Percent ages 65+,0.147,Age,map,.0%,052,620L500US09052
State House District 53,House,Percent ages 65+,0.137,Age,map,.0%,053,620L500US09053
State House District 54,House,Percent ages 65+,0.073,Age,map,.0%,054,620L500US09054
State House District 55,House,Percent ages 65+,0.142,Age,map,.0%,055,620L500US09055
State House District 56,House,Percent ages 65+,0.169,Age,map,.0%,056,620L500US09056
State House District 57,House,Percent ages 65+,0.138,Age,map,.0%,057,620L500US09057
State House District 58,House,Percent ages 65+,0.164,Age,map,.0%,058,620L500US09058
State House District 59,House,Percent ages 65+,0.154,Age,map,.0%,059,620L500US09059
State House District 60,House,Percent ages 65+,0.173,Age,map,.0%,060,620L500US09060
State House District 61,House,Percent ages 65+,0.157,Age,map,.0%,061,620L500US09061
State House District 62,House,Percent ages 65+,0.157,Age,map,.0%,062,620L500US09062
State House District 63,House,Percent ages 65+,0.184,Age,map,.0%,063,620L500US09063
State House District 64,House,Percent ages 65+,0.259,Age,map,.0%,064,620L500US09064
State House District 65,House,Percent ages 65+,0.164,Age,map,.0%,065,620L500US09065
State House District 66,House,Percent ages 65+,0.204,Age,map,.0%,066,620L500US09066
State House District 67,House,Percent ages 65+,0.151,Age,map,.0%,067,620L500US09067
State House District 68,House,Percent ages 65+,0.177,Age,map,.0%,068,620L500US09068
State House District 69,House,Percent ages 65+,0.299,Age,map,.0%,069,620L500US09069
State House District 70,House,Percent ages 65+,0.138,Age,map,.0%,070,620L500US09070
State House District 71,House,Percent ages 65+,0.169,Age,map,.0%,071,620L500US09071
State House District 72,House,Percent ages 65+,0.099,Age,map,.0%,072,620L500US09072
State House District 73,House,Percent ages 65+,0.111,Age,map,.0%,073,620L500US09073
State House District 74,House,Percent ages 65+,0.139,Age,map,.0%,074,620L500US09074
State House District 75,House,Percent ages 65+,0.117,Age,map,.0%,075,620L500US09075
State House District 76,House,Percent ages 65+,0.153,Age,map,.0%,076,620L500US09076
State House District 77,House,Percent ages 65+,0.194,Age,map,.0%,077,620L500US09077
State House District 78,House,Percent ages 65+,0.144,Age,map,.0%,078,620L500US09078
State House District 79,House,Percent ages 65+,0.136,Age,map,.0%,079,620L500US09079
State House District 80,House,Percent ages 65+,0.165,Age,map,.0%,080,620L500US09080
State House District 81,House,Percent ages 65+,0.219,Age,map,.0%,081,620L500US09081
State House District 82,House,Percent ages 65+,0.183,Age,map,.0%,082,620L500US09082
State House District 83,House,Percent ages 65+,0.175,Age,map,.0%,083,620L500US09083
State House District 84,House,Percent ages 65+,0.116,Age,map,.0%,084,620L500US09084
State House District 85,House,Percent ages 65+,0.178,Age,map,.0%,085,620L500US09085
State House District 86,House,Percent ages 65+,0.181,Age,map,.0%,086,620L500US09086
State House District 87,House,Percent ages 65+,0.19,Age,map,.0%,087,620L500US09087
State House District 88,House,Percent ages 65+,0.154,Age,map,.0%,088,620L500US09088
State House District 89,House,Percent ages 65+,0.171,Age,map,.0%,089,620L500US09089
State House District 90,House,Percent ages 65+,0.177,Age,map,.0%,090,620L500US09090
State House District 91,House,Percent ages 65+,0.177,Age,map,.0%,091,620L500US09091
State House District 92,House,Percent ages 65+,0.117,Age,map,.0%,092,620L500US09092
State House District 93,House,Percent ages 65+,0.096,Age,map,.0%,093,620L500US09093
State House District 94,House,Percent ages 65+,0.083,Age,map,.0%,094,620L500US09094
State House District 95,House,Percent ages 65+,0.08,Age,map,.0%,095,620L500US09095
State House District 96,House,Percent ages 65+,0.096,Age,map,.0%,096,620L500US09096
State House District 97,House,Percent ages 65+,0.158,Age,map,.0%,097,620L500US09097
State House District 98,House,Percent ages 65+,0.229,Age,map,.0%,098,620L500US09098
State House District 99,House,Percent ages 65+,0.187,Age,map,.0%,099,620L500US09099
State House District 100,House,Percent ages 65+,0.159,Age,map,.0%,100,620L500US09100
State House District 101,House,Percent ages 65+,0.205,Age,map,.0%,101,620L500US09101
State House District 102,House,Percent ages 65+,0.208,Age,map,.0%,102,620L500US09102
State House District 103,House,Percent ages 65+,0.186,Age,map,.0%,103,620L500US09103
State House District 104,House,Percent ages 65+,0.132,Age,map,.0%,104,620L500US09104
State House District 105,House,Percent ages 65+,0.138,Age,map,.0%,105,620L500US09105
State House District 106,House,Percent ages 65+,0.157,Age,map,.0%,106,620L500US09106
State House District 107,House,Percent ages 65+,0.157,Age,map,.0%,107,620L500US09107
State House District 108,House,Percent ages 65+,0.144,Age,map,.0%,108,620L500US09108
State House District 109,House,Percent ages 65+,0.13,Age,map,.0%,109,620L500US09109
State House District 110,House,Percent ages 65+,0.114,Age,map,.0%,110,620L500US09110
State House District 111,House,Percent ages 65+,0.156,Age,map,.0%,111,620L500US09111
State House District 112,House,Percent ages 65+,0.133,Age,map,.0%,112,620L500US09112
State House District 113,House,Percent ages 65+,0.159,Age,map,.0%,113,620L500US09113
State House District 114,House,Percent ages 65+,0.199,Age,map,.0%,114,620L500US09114
State House District 115,House,Percent ages 65+,0.133,Age,map,.0%,115,620L500US09115
State House District 116,House,Percent ages 65+,0.094,Age,map,.0%,116,620L500US09116
State House District 117,House,Percent ages 65+,0.201,Age,map,.0%,117,620L500US09117
State House District 118,House,Percent ages 65+,0.177,Age,map,.0%,118,620L500US09118
State House District 119,House,Percent ages 65+,0.166,Age,map,.0%,119,620L500US09119
State House District 120,House,Percent ages 65+,0.175,Age,map,.0%,120,620L500US09120
State House District 121,House,Percent ages 65+,0.159,Age,map,.0%,121,620L500US09121
State House District 122,House,Percent ages 65+,0.279,Age,map,.0%,122,620L500US09122
State House District 123,House,Percent ages 65+,0.192,Age,map,.0%,123,620L500US09123
State House District 124,House,Percent ages 65+,0.114,Age,map,.0%,124,620L500US09124
State House District 125,House,Percent ages 65+,0.153,Age,map,.0%,125,620L500US09125
State House District 126,House,Percent ages 65+,0.102,Age,map,.0%,126,620L500US09126
State House District 127,House,Percent ages 65+,0.138,Age,map,.0%,127,620L500US09127
State House District 128,House,Percent ages 65+,0.057,Age,map,.0%,128,620L500US09128
State House District 129,House,Percent ages 65+,0.114,Age,map,.0%,129,620L500US09129
State House District 130,House,Percent ages 65+,0.09,Age,map,.0%,130,620L500US09130
State House District 131,House,Percent ages 65+,0.153,Age,map,.0%,131,620L500US09131
State House District 132,House,Percent ages 65+,0.164,Age,map,.0%,132,620L500US09132
State House District 133,House,Percent ages 65+,0.121,Age,map,.0%,133,620L500US09133
State House District 134,House,Percent ages 65+,0.187,Age,map,.0%,134,620L500US09134
State House District 135,House,Percent ages 65+,0.162,Age,map,.0%,135,620L500US09135
State House District 136,House,Percent ages 65+,0.159,Age,map,.0%,136,620L500US09136
State House District 137,House,Percent ages 65+,0.144,Age,map,.0%,137,620L500US09137
State House District 138,House,Percent ages 65+,0.132,Age,map,.0%,138,620L500US09138
State House District 139,House,Percent ages 65+,0.162,Age,map,.0%,139,620L500US09139
State House District 140,House,Percent ages 65+,0.08,Age,map,.0%,140,620L500US09140
State House District 141,House,Percent ages 65+,0.138,Age,map,.0%,141,620L500US09141
State House District 142,House,Percent ages 65+,0.17,Age,map,.0%,142,620L500US09142
State House District 143,House,Percent ages 65+,0.155,Age,map,.0%,143,620L500US09143
State House District 144,House,Percent ages 65+,0.157,Age,map,.0%,144,620L500US09144
State House District 145,House,Percent ages 65+,0.116,Age,map,.0%,145,620L500US09145
State House District 146,House,Percent ages 65+,0.096,Age,map,.0%,146,620L500US09146
State House District 147,House,Percent ages 65+,0.152,Age,map,.0%,147,620L500US09147
State House District 148,House,Percent ages 65+,0.118,Age,map,.0%,148,620L500US09148
State House District 149,House,Percent ages 65+,0.195,Age,map,.0%,149,620L500US09149
State House District 150,House,Percent ages 65+,0.141,Age,map,.0%,150,620L500US09150
State House District 151,House,Percent ages 65+,0.17,Age,map,.0%,151,620L500US09151
Connecticut,State,Percent ages 65+,0.155,Age,map,.0%,,Connecticut
State Senate District 1,Senate,Total population,95018,Race and ethnicity,table,",",001,610U500US09001
State Senate District 2,Senate,Total population,96585,Race and ethnicity,table,",",002,610U500US09002
State Senate District 3,Senate,Total population,100343,Race and ethnicity,table,",",003,610U500US09003
State Senate District 4,Senate,Total population,100911,Race and ethnicity,table,",",004,610U500US09004
State Senate District 5,Senate,Total population,97737,Race and ethnicity,table,",",005,610U500US09005
State Senate District 6,Senate,Total population,96685,Race and ethnicity,table,",",006,610U500US09006
State Senate District 7,Senate,Total population,102107,Race and ethnicity,table,",",007,610U500US09007
State Senate District 8,Senate,Total population,96337,Race and ethnicity,table,",",008,610U500US09008
State Senate District 9,Senate,Total population,103128,Race and ethnicity,table,",",009,610U500US09009
State Senate District 10,Senate,Total population,95842,Race and ethnicity,table,",",010,610U500US09010
State Senate District 11,Senate,Total population,99088,Race and ethnicity,table,",",011,610U500US09011
